user_pseudo_id,num_sessions,cnt_events_total,cnt_events_first_1h,cnt_events_first_6h,num_distinct_event_types,min_to_first_level_start,min_to_first_post_score,min_to_first_level_complete
7A72B6141458AC5F7AC36F112C3C274C,0,100,100,100,10,,0,
21D029C8E7D65C2FB1487C643403D91C,0,138,60,60,21,0,1,1
550A5DFB3871B30009BF48DE5EDCF918,0,279,183,183,20,0,1,2
0DC18105468D2F74D534DF27DC3947AA,0,187,187,187,21,4,1,7
361F3570C32F1CE252B63BA587E7BDDC,0,482,261,410,24,26,0,
5114C593C19D72F98121F32B0FA1BA7E,0,65,65,65,12,0,1,2
217E5A7D5E555C39FC191966D90AA67C,0,87,87,87,13,0,1,
114657EFF1B1073BA26682F85FDC4B8C,0,294,294,294,19,0,0,1
7FE1548D56FE9B87CE6C14374969B4A9,0,74,56,74,12,,4,
9C3F3B7108D21989DE29DC6B8BD492B2,0,177,177,177,11,-132924,13,13
645974545C7B4E4FA3ADED412466A940,0,94,94,94,12,40,,
E0F27510B64D689AA8E5F4BE241792A4,0,578,574,578,10,0,1,1
2B3B13AC3C9E94B89E40BA8397EC38C1,0,140,105,105,14,0,3,2
9C43082198C08BB684E2632C1F648033,0,115,115,115,9,1,1,1
09FC15B75E36120725A9C4E6CD2F136D,0,243,227,243,14,0,2,0
EFE4491F4D7665F3E0C4632A5CE8879C,0,340,109,109,13,-1,1,2
F80099970BFC9EFDF10AD8677FDE2699,0,59,59,59,10,0,,
AEB8F7B1FB1B4DE3877A516FC322E1E7,0,191,191,191,9,0,2,1
6192827C86E00B88E6877085D46104AD,0,232,221,232,12,0,41,41
60FDE4704C24824E657A8824DCB7E5D7,0,195,192,195,11,,2,
D005DBB6676A8561A340A1ADDCE2A287,0,81,81,81,8,-2,30,30
0382C91508208943B96471068D9D3E78,0,79,79,79,9,0,5,4
609EBCD3BB9E9FAA642287CA2A2BDDCB,0,65,65,65,14,0,1,
691BEEE3F6A4739A6E3DB425FF4C976A,0,124,124,124,13,0,15,15
19BF58696B080C6768F1CD0B53B9C310,0,275,275,275,19,0,0,1
7D5BEE9D99070D287FBAA1569241E9EE,0,182,182,182,11,0,6,5
A8610CD5FF7687B4AA60141775E0B580,0,60,60,60,13,-1,2,1
C2B25EE9A659522EF7D7E6754150E1E0,0,60,60,60,9,6,9,7
DB96F991CEBF843652230B0F802424FA,0,230,160,160,22,0,2,3
EEA576AE30975611B7C0B9948180AD91,0,91,91,91,8,0,,
E890021CD1AE7D8D7182EF66503FB1C8,0,674,223,349,18,517,0,517
94C7225B71EBBFD33183DD3B59591546,0,127,99,99,14,,0,
93D5DF30DC509863B8918BB7F73E0BC5,0,81,81,81,13,,1,
E9FAB40C08950F9B2927F6954DA285F9,0,120,120,120,12,,1,
ACD033F637CA3A9C43CBF8ACFB48F8B6,0,96,96,96,14,,0,
5BA2B0B18E94EA7EABE532297E83F0BE,0,864,714,714,20,1413,0,1413
3CB265E3644506572FFFC80A7DAD0E78,0,95,23,95,13,0,71,
1C8023CB2E42B4F2358A4B63533A7C4E,0,1,1,1,1,,,
DDDF330206C8FD63B6C78C3BFB13F801,0,157,75,121,13,,0,
5D84066876D8650792B2DB37277D67C0,0,367,96,96,19,0,0,0
46AE1B2A500BC810A363BE6C9B56EFFA,0,326,326,326,21,7,0,
BBC7E4A6691A125A2926873804AB5B90,0,65,65,65,15,,0,
65D1701E5BA0070CCF15F0CB0E1CF750,0,147,62,62,9,1,1,1
3E57621C646464D99ECFAC0A4642B398,0,95,95,95,10,0,,
