user_pseudo_id,nav_screen_views,nav_distinct_categories,nav_transitions,nav_distinct_transitions,nav_self_loops,nav_cnt_game_over,nav_cnt_shop,nav_cnt_steps,nav_cnt_ad,nav_cnt_level_select
1D435E381B7264B0A2DDDC9D911F9AE8,437,9,189,24,46,59,13,36,6,27
428B364B8F2B42ED8D7C5AD1020705EF,168,9,78,23,14,24,9,26,6,3
F74D98A3BB722F16D0E8D7434A4E0720,629,8,220,25,50,158,40,17,30,21
71AAE70AC95236B7ADF665241789A2DB,564,9,254,24,69,117,18,73,20,20
BA889BE17F356F33412A42AC1CE6C51D,246,10,152,27,41,42,9,15,28,21
C495AAE4F1CC79CAF4335174F95ABFAC,577,9,270,23,59,130,22,62,36,4
FE050FD4D559767FB68597C9638BA748,1044,9,488,24,99,256,45,119,27,29
B3C470B60D2527FE10825101C54FB1F7,1857,9,808,26,202,432,69,228,59,19
C6892F83765C54CDB0A4768B53F96B1C,142,9,72,23,20,22,5,16,9,4
114657EFF1B1073BA26682F85FDC4B8C,294,9,136,23,35,48,7,12,18,8
3E224193E1BD44B0EF091A4E4EE44EF8,500,9,233,25,35,71,30,90,3,15
ACBDEF6CDDCF8C568B026B4E104F2055,504,9,226,24,53,121,17,58,5,8
82C4C434811FFE6491CD496EFEA96382,556,8,185,23,52,163,21,9,15,17
6C40A2B1B7C2336EDCE4B9F346682A72,241,9,93,23,25,48,2,3,3,13
6A24D64A89D95F922CF43FD19EB2189F,610,9,294,24,64,120,28,80,15,16
54DF823029684ECFF20528667946AC2D,531,9,233,24,53,101,16,40,24,22
AA594567796363A1615D5F396322F9D1,181,9,89,25,19,16,11,35,20,3
DB823680F4CE3AF028B13415C716BE6A,303,9,141,23,33,47,9,12,18,4
9BB97A6644180ADBF65C09ED1693682F,174,9,84,25,24,17,4,4,12,16
2B510FBF818B7502DA16690FECA8EA9C,731,9,329,25,89,176,17,60,51,7
98854978508568A4D454EAF6B25BDC0A,281,9,135,24,32,44,11,28,10,12
5D8A7AFCAAEE84500AE904656B556E63,188,9,86,23,20,31,6,13,15,9
D61E39534FB8155BB4009A5437EAC9EE,143,9,71,23,16,20,6,15,9,9
B75810F39D371512B779AEBA7A24C528,559,9,278,25,59,46,35,118,75,15
BA080D2B8FCE6B073BB3C0C82455A485,98,9,47,23,7,9,7,17,3,4
748D7E7FF63D2D09D4EFE1CFE2161A47,183,9,84,23,21,32,6,18,9,8
CB597BC37DC603EE025C8B3579112736,268,9,117,24,23,19,13,38,9,7
C11A5633BF6F5C37E2AE3EFC269B69E3,407,9,199,23,46,70,14,39,37,16
225638B28A80341EEB04F1DFC144F30E,331,9,158,23,33,88,13,36,30,3
4032085C28047CF8EA19354C6DD88A82,377,9,156,24,37,103,9,25,25,11
AEC2CA5E93CD385AF322CC8B6E9C5534,202,9,101,24,25,35,8,26,12,4
20A7321DA29912CBAE66BF98E85CC0C7,922,8,481,24,127,242,45,164,78,2
C0C07AED1A963A29C83731C2371FFC72,216,9,96,24,25,27,5,12,9,8
AED716F2A571507087AF004F331D9949,468,9,210,25,46,110,19,62,3,7
49F258F293DC7D97153F5F1046FBD268,147,9,70,24,18,16,3,3,9,10
F3C82C9DB04064BA7965BBBD95864189,1973,9,980,24,200,470,87,261,185,39
ACA2E31E67D50F779611D7FDB674C370,204,9,88,23,20,28,5,10,12,8
062964F7169622E4AEC91756FFB8261B,142,9,79,26,23,12,6,22,11,18
0C68DB4121FA4DA0A82C6D6406E8CBE6,98,9,46,23,10,10,4,6,6,4
D07EB9B932D208DA09AEC1042B2029C1,149,9,78,23,19,30,9,35,6,4
7FDDC95340BC25D0D2BD52328DCADD7E,1014,9,399,23,90,324,26,75,6,8
ADD0757874A418957AAA60903AA5F62D,212,9,83,23,22,18,4,3,27,4
7B6BC42B913D80D3B2636342AA065DA0,156,9,70,23,16,23,4,10,5,7
A7350BF43C799C980939BDFF0B6268CC,893,9,384,23,93,188,18,52,63,27
0E3E6936E3AC681876BC1DD6ABE7E937,366,9,189,23,27,22,28,62,9,11
104B0770BAE16E8B53DF330C95881893,556,9,230,23,58,116,7,9,36,11
4D42F2CA79AD318C761BD19A3633E314,1516,9,716,25,144,421,83,280,48,15
1AE32C0B80648F4516DE4830AD288E02,228,9,112,26,21,28,13,38,20,4
7657E94F33F780A1D896FBC9237E5ECC,666,9,255,24,67,103,10,27,61,8
27A574ADFE1884A1F60965FE0A2F8C6C,212,9,99,23,22,22,8,17,9,12
8F773E0EB0BB6A4C55F42382025236C6,184,9,83,25,20,16,6,14,6,14
5F44E03ED9953894523FCE9137596363,233,9,121,24,31,38,11,32,3,4
F0DDF083423215EAC2148F4E94ADFCA8,131,9,61,23,15,26,4,6,5,4
942E123C7E8C0B62935889D03D77BE8E,536,9,230,25,62,91,7,20,30,27
8601A3659DC5C1F0444E5CCDA5ED3E14,1507,8,547,25,105,284,186,67,84,28
78665185409E66882897117D28E0835B,327,9,157,24,40,38,9,12,9,17
D94CD20A6CC825AD36B00512A6CC92B1,191,9,92,24,22,12,7,11,12,8
3DCA4F3C454685AFAE9D0642C321219B,210,9,103,23,22,35,8,21,12,7
9496AD6B59EE0559E6A55424D484E6DB,414,9,218,24,57,83,17,58,33,23
EBBE37D9DE648A6BC6E6825879D60D3E,275,9,138,25,38,41,6,18,24,15
27DF439BFD9C3BB0CB0D636030E61F57,407,9,199,24,48,97,20,72,8,13
1998E771F5C24E7FEA242074595E52FE,296,9,139,25,35,46,10,33,12,14
C095B807B75252FCDEBC054289E4F89C,102,9,51,24,13,16,5,16,5,4
