user_pseudo_id,diff_cnt_fail,diff_cnt_retry,diff_cnt_level_up,diff_max_level,diff_num_distinct_levels,diff_max_score,diff_mean_score,diff_cnt_scores
F021650F621A5203E088D0B9D100A9A8,6,33,30,31,32,21,4.026315789473684,38
DB33DC8421C63BAC211F5F42209CB4A7,6,19,15,15,15,21,5.266666666666666,15
CF2B433E209BD2CDE653B2AAB49D2FDB,1,26,25,26,26,21,5.88,25
CDB12CED18D01A0CC6AAF15D0A277DF9,0,12,12,13,13,21,7.916666666666667,12
26758918FC7113FAC886E6C0D75029DA,3,3,11,12,12,21,6.090909090909091,11
8F75FAE8C9129A7B666A7DBA014898E4,6,6,16,17,17,21,5.5625,16
B969FADBA69F9275618A6D7B9B986063,5,0,15,23,17,16,5.333333333333334,21
0B57732CC81507A6EF8F49B7BEC5770F,0,1,1,24,2,12,12.0,1
8601A3659DC5C1F0444E5CCDA5ED3E14,14,41,30,31,32,21,2.2419354838709684,62
35D7E0527C5BC0E5044EF3716C845E08,9,20,17,12,13,21,5.65,20
1FFEE889C95637FE2D229E04149BC23B,12,28,16,17,18,21,5.277777777777779,18
05E40704E85030AC8EE03ED69A7D6FEF,1,16,15,16,17,21,7.470588235294117,17
56638C161E53327DFF2A4C3001968B70,16,33,16,17,18,21,5.352941176470589,17
B2FFF7F4FBABDA01138D0E2504307048,0,15,15,17,17,21,5.733333333333333,15
FB6DF2FE493D87177B8A640D71AE45DD,0,22,23,24,24,21,5.3478260869565215,23
8E2768C381113D72B39CCE7961BE5481,39,67,28,31,30,21,4.633333333333335,30
CE29CD745AD91AE056841B4252417028,3,28,24,25,25,21,5.874999999999998,24
92BF054A90804B6D65F11D7CDFCDDEFC,12,41,30,31,32,21,4.937500000000001,32
0232A0C6A31572DBA6D6CB0F2592ABCE,5,21,17,17,17,21,5.9411764705882355,17
F475A23EE0B80DC59250CBB1C35AFB3E,0,12,13,13,13,21,7.999999999999999,13
D85672E8322401603F6706560AAFACA7,2,17,15,16,16,21,6.066666666666666,15
7FD3B52661B5030E97AA98C6449BA790,8,33,25,26,27,21,4.538461538461538,26
ED4C30231EFF6BA5660398B76E680FA8,10,32,23,16,16,21,5.913043478260869,23
BE13C3B4A34804D4CF30E6D8C417E4B4,1,20,19,20,21,21,5.999999999999999,20
C2C13FF2D50F1038CFF9DB2D1241135F,2,1,0,17,2,,,0
E0CE2CA5D2D361E064F990D370644897,12,22,10,17,11,12,4.8,10
0D7CB64F9D6127441C68776A2EC22D0B,0,0,1,12,2,13,13.0,1
5631892AB2E836FD3A72540D3C316C51,7,37,30,31,31,21,5.833333333333335,30
0C33CF0DE752CAB6896E7076DD9B0ACE,2,14,13,26,14,9,2.769230769230769,13
C73D0BE8A6C303863FCE487F9996028C,25,45,20,25,23,21,4.608695652173914,23
8E75710E2F50347D18D53EE411D26FD8,28,46,18,19,19,21,4.055555555555555,18
F0133C453901CA70C9101F0550E81AB3,2,24,22,23,23,21,5.545454545454546,22
0FAA93D302C2B18B489CC74F4638720B,0,8,9,17,9,15,7.000000000000001,9
24D98B6BFAF41699F83A2A416C3AFAA3,0,1,1,25,2,1,1.0,1
7D7B2FEC3DBE3839B9C8881D4E25E603,0,0,4,13,7,21,9.571428571428571,7
E890021CD1AE7D8D7182EF66503FB1C8,10,45,35,31,32,21,5.861111111111111,36
5D84066876D8650792B2DB37277D67C0,6,22,18,19,20,21,5.315789473684211,19
909F7646D914DA546FE11BEA64934C21,1,11,10,11,12,21,5.000000000000001,11
39263A4294E10DC839B738D9D9BCD42D,0,1,1,15,3,20,20.0,1
02084E10F9F1052182B5602D6CDC50BA,3,7,5,19,7,21,8.0,5
5FF343F27F2CF7CA2B9DCA7193C67DA9,0,6,6,14,7,14,5.166666666666667,6
5E8AC46740AF7F941F59A33B5C401141,0,12,12,13,14,21,5.7333333333333325,15
737952B0FC3F8BA5F86475FED13242F9,20,13,31,20,21,21,4.617647058823528,34
8E08DD7CA9EE7612173B65D51EFFDC6E,0,2,2,12,3,16,8.0,2
52AD82D3ED9AA51B63F1903ACF8209D7,0,11,11,12,12,21,6.636363636363636,11
0053BF563994B28D4A8035CEE4215F2F,0,7,7,23,8,10,5.857142857142858,7
C55BB3776BAF55E6BE0B1B35D95EFCFC,0,10,10,31,13,21,4.071428571428572,14
AEBA9BC15B6A68226944455204FB84F1,1,17,16,17,17,18,5.875,16
B83E97CDE1FCF1D681206DFFC5F1898E,1,21,22,23,23,21,6.2727272727272725,22
72F61883EF67515CBBFEFBBDFF93210A,0,10,10,11,11,21,5.8999999999999995,10
7A72B6141458AC5F7AC36F112C3C274C,0,6,6,13,7,16,4.666666666666667,6
B8D2387D0A096E2BD5CA84D2C9F6572C,0,3,3,25,4,10,7.666666666666667,3
4D1DFFA5A6570E90D83878ED0021478B,4,34,30,31,31,21,4.93103448275862,29
5217AB1A454DAED6243E1C9818BE6A20,2,29,27,28,28,21,6.185185185185186,27
C637D3E6A7F47C101BEAFC1416DBC75D,0,0,0,13,2,,,0
DF332E467CB6F31114DF175AFFC1AA2B,0,3,3,20,4,5,3.0,3
40B409D2F011F83053D8E40B6EACBD92,28,51,24,17,17,21,4.916666666666667,24
