user_first_engagement,user_pseudo_id,split_group,is_enable,bounced,country_name,device_os,device_lang,cnt_user_engagement,cnt_level_start_quickplay,cnt_level_end_quickplay,cnt_level_complete_quickplay,cnt_level_reset_quickplay,cnt_post_score,cnt_spend_virtual_currency,cnt_ad_reward,cnt_challenge_a_friend,cnt_completed_5_levels,cnt_use_extra_steps,churned
2018-08-22 13:04:22.744001+00:00,099A11692D9DB0B9F494F12C691B4279,training,1,1,Vietnam,ANDROID,vi-vn,9,1,0,0,0,0,0,0,0,0,0,1
2018-09-12 05:07:42.317003+00:00,37DC3F34CD3CF0D57CD6A753364BEC30,training,1,0,India,ANDROID,en-us,2,0,0,0,0,0,0,0,0,0,0,1
2018-07-27 22:40:35.505003+00:00,65A2FB302E0C84CD0EF594764B12B356,training,1,0,United Arab Emirates,ANDROID,en-us,16,3,2,2,0,3,0,0,0,0,0,0
2018-09-14 05:28:05.889004+00:00,2CC12B6413FBC345930F7B81394B96A6,testing,1,0,India,ANDROID,en-us,4,0,0,0,0,0,0,0,0,0,0,1
2018-07-06 04:33:03.668001+00:00,369C245CB9986DCBF1A7F0965D5303CE,training,1,0,United States,ANDROID,en-us,12,3,2,0,0,0,0,0,0,0,0,1
2018-06-12 17:38:35.219001+00:00,84159D156B24D3FF483713A6B8AB0FC9,testing,1,0,Germany,ANDROID,de-de,17,7,7,6,0,6,0,0,0,0,0,0
2018-08-06 13:56:20.914026+00:00,969DC756B9B132C1AA475E16248851BB,training,1,1,Japan,IOS,ja-jp,4,1,0,0,0,0,0,0,0,0,0,1
2018-09-06 04:48:23.592010+00:00,BF9484989EA43B0C4E88F4434CD2FC86,training,1,1,Egypt,IOS,en-de,3,1,1,1,0,1,0,0,0,0,0,1
2018-06-13 03:24:01.905005+00:00,2BB49B55D58503178D903A8C3A2C6E5C,training,1,0,United States,IOS,en-us,11,3,3,1,0,1,0,0,0,0,0,0
2018-07-28 04:27:09.953001+00:00,448F4402131C2DE70EC67F04D4BF5719,training,1,0,United States,ANDROID,en-us,49,13,9,1,3,1,1,0,0,0,1,0
2018-06-15 16:40:34.883005+00:00,57AF44C73C2441BB587970ACDD4B9B48,training,1,0,United States,IOS,en-us,69,1,1,0,0,7,0,0,0,0,0,0
2018-08-03 19:10:09.023001+00:00,90315F3CE85BB427F960EF2F78972EA6,training,1,0,United Arab Emirates,ANDROID,en-us,4,0,0,0,0,0,0,0,0,0,0,0
2018-07-01 21:18:33.964014+00:00,AEEA925CACA0062BD6684AE6B5DF065E,training,1,0,United States,IOS,en-us,84,31,12,0,20,0,0,0,0,0,0,1
2018-06-27 20:01:00.777006+00:00,B592F276FE86F970D46D9177C1FECF86,validation,1,1,Switzerland,ANDROID,de-at,10,0,0,0,0,3,0,0,0,0,0,1
2018-08-26 11:01:42.892016+00:00,C576922AC96E60240D148752D36BF34C,training,1,1,India,ANDROID,en-gb,12,0,0,0,0,2,0,0,0,0,0,1
2018-08-25 03:19:34.000006+00:00,155263A40D769D42880C8E43690F3E70,training,1,0,United States,ANDROID,en-us,10,0,0,0,0,2,0,0,0,0,0,0
2018-09-24 02:51:58.003013+00:00,CD3BC0EA55207E1A9CF2A7FED1DC36E5,training,1,1,United States,IOS,en-us,2,1,0,0,0,1,0,0,0,0,0,1
2018-06-29 21:28:11.225003+00:00,01B358175084B5B44F1C83C2A42FE33A,training,1,0,United States,ANDROID,en-us,1,0,0,0,0,0,0,0,0,0,0,0
2018-06-26 05:31:31.089002+00:00,253FDED7F0607E2F58379FD2DCE5679E,training,1,1,United States,ANDROID,en-us,5,1,1,0,0,1,0,0,0,0,0,1
2018-07-07 00:52:14.930003+00:00,2892CC7C7FF6207D4AC1F5D1ACFA37F7,training,1,0,United Kingdom,IOS,en-gb,11,3,3,0,0,1,0,0,0,0,0,0
2018-08-07 13:38:42.090001+00:00,3C24334270603160F1C27BAAC3B9B714,training,1,0,India,ANDROID,en-us,2,0,0,0,0,0,0,0,0,0,0,0
2018-07-31 23:08:55.956000+00:00,4FD9D8CC8CDC35E591A3EAB269D83A3C,training,1,0,United States,ANDROID,en-us,281,0,0,0,0,19,6,0,0,1,6,0
2018-06-23 01:11:01.274004+00:00,5E316975A9F0FCFD2E4AD4967A06C260,testing,1,0,United States,ANDROID,en-us,9,2,2,1,0,1,0,0,0,0,0,0
2018-09-16 07:30:00.722003+00:00,725BBF78CC7F167705D334B4FC848508,training,1,0,Japan,IOS,ja-jp,45,22,6,6,11,9,0,0,0,0,0,0
2018-07-28 22:24:30.815001+00:00,75090DD3DF498745E31980F2DAF75F24,training,1,0,United States,IOS,en-us,51,2,2,1,0,8,1,0,0,1,1,0
2018-06-28 21:17:49.179012+00:00,7A97F1544C742D139686594C72404B53,training,1,0,United States,IOS,en-us,2,1,0,0,0,0,0,0,0,0,0,0
2018-08-14 14:49:43.596001+00:00,7D9E4CD01C4E4F1768A0DF5CDFDD7753,training,1,0,South Korea,IOS,ko-kr,99,22,22,13,0,26,0,0,0,1,0,0
2018-09-24 12:56:52.756000+00:00,53A0BD3DCF2B401EDB8A810C0E162BD0,testing,1,0,United States,IOS,en-us,14,13,4,4,8,4,0,0,0,0,0,1
2018-06-24 07:34:39.816010+00:00,7EAA72D0744F2D2BD7EFD2C517C802CE,validation,1,1,United States,IOS,en-us,6,0,0,0,0,0,0,0,0,0,0,1
2018-06-17 16:07:15.572005+00:00,83ECF96299CE32BC5D59B60470257994,testing,1,0,United Kingdom,ANDROID,en-gb,170,7,6,3,0,19,0,0,0,0,0,0
2018-06-14 19:55:18.548003+00:00,901F7AF71A35D7065004B3C3219DD6D2,testing,1,0,Tunisia,ANDROID,en-us,1,0,0,0,0,0,0,0,0,0,0,0
2018-07-22 09:00:30.341000+00:00,E236D61DE388248BC88C909A413DFFF9,training,1,0,Germany,ANDROID,de-de,1,0,0,0,0,0,0,0,0,0,0,0
2018-08-06 18:45:56.694000+00:00,ECEB7E9D01AE242D857D1778522D553B,testing,1,1,Canada,IOS,en-ca,2,0,0,0,0,0,0,0,0,0,0,1
2018-09-10 22:13:44.356003+00:00,F46FF71955A05C3B8DE0EF2BD1C6D81D,training,1,1,Greece,IOS,el-gr,5,2,2,2,0,2,0,0,0,0,0,1
2018-07-01 00:09:22.236002+00:00,FAF8B2D607CE97AA90982E59E6734E06,training,1,0,United States,ANDROID,en-us,31,0,0,0,0,6,0,0,0,1,0,0
2018-07-04 17:17:16.534008+00:00,2F7CDBC4F07C87E04A1F12F2BDFD132E,training,1,1,Germany,ANDROID,de-de,8,1,0,0,0,0,0,0,0,0,0,1
2018-08-30 20:37:53.821006+00:00,6FAF26440D250AD0214499DDF954E7A8,testing,1,0,United States,ANDROID,en-us,13,0,0,0,0,3,0,0,0,0,0,0
2018-09-17 16:24:48.098001+00:00,CAF520AB0C23BCE70BA0854832368591,training,1,1,India,ANDROID,en-gb,11,1,0,0,0,1,0,0,0,0,0,1
2018-09-07 22:48:45.273010+00:00,D85CB69751E68264F1C8A9005F19EE94,training,1,1,United Kingdom,IOS,en-gb,6,2,1,0,0,0,0,0,0,0,0,1
2018-07-14 21:02:26.320003+00:00,DAC0EAB11F253D2173A6FAA79AF5DCAB,training,1,0,United States,ANDROID,en-us,14,0,0,0,0,0,1,0,0,0,1,0
2018-06-13 03:32:36.949010+00:00,11519E8CFEF58EEE9824CC7B90C9BD9B,training,1,0,United States,IOS,en-us,11,3,3,0,0,0,0,0,0,0,0,0
2018-06-17 03:40:18.255009+00:00,82486A3B62D50DB914F1C6857733DAB2,training,1,0,United States,IOS,en-us,11,4,4,2,0,2,0,0,0,0,0,0
2018-07-17 02:28:29.607002+00:00,A1CCD9D935CD30A3A49B3A78204315BE,training,1,0,India,ANDROID,en-gb,9,2,1,0,0,0,0,0,0,0,0,0
2018-06-25 10:57:05.628010+00:00,A8F327F313C9448DFD5DE108DAE66100,training,1,0,France,IOS,fr-fr,199,89,87,0,0,187,0,0,0,0,0,0
2018-07-13 14:07:19.055001+00:00,FF6488918D5210F79676433098CAB3AF,training,1,0,Philippines,ANDROID,en-us,36,0,0,0,0,9,0,0,0,1,0,1
2018-07-02 01:07:44.008003+00:00,011068A78F16C35DE89A649B12D640DA,training,1,0,Canada,ANDROID,en-ca,9,0,0,0,0,1,0,0,0,0,0,0
2018-09-12 23:55:14.792000+00:00,201E3B0D000A2177487384189D647E14,training,1,1,United States,IOS,en-us,3,0,0,0,0,0,0,0,0,0,0,1
2018-06-24 10:10:54.586005+00:00,2A0B0B6E66259E8CBCD4161F456967A7,training,1,0,United States,IOS,en-us,90,44,26,13,17,13,0,0,0,0,0,1
2018-09-24 08:09:02.427001+00:00,622D6D8512303C2637073ADD1386B055,training,1,1,China,IOS,zh-hans-cn,10,3,1,0,2,0,0,0,0,0,0,1
2018-09-17 22:31:42.533005+00:00,C1A8B1E41C2F28BBA8BCAC12897550F1,validation,1,0,Australia,IOS,en-au,17,4,1,0,0,0,0,0,0,0,0,1
2018-08-05 07:26:01.420000+00:00,C96F48D9AC193635F69F2021E4FA9F85,training,1,1,United Kingdom,ANDROID,en-gb,1,0,0,0,0,0,0,0,0,0,0,1
2018-06-23 20:01:48.389005+00:00,5C587774EFDA6FB9160BCAE02960E4E9,training,1,0,United States,IOS,en-us,5,3,3,2,0,2,0,0,0,0,0,0
2018-09-15 16:38:31.737000+00:00,68449E80D3C79A07DAE06561D90F66F0,training,1,1,Saudi Arabia,IOS,ar-sa,6,1,1,0,0,0,1,0,0,0,1,1
2018-09-12 20:08:51.774021+00:00,B8429B75BCB661EE6B9B8786989DB224,testing,1,1,United States,ANDROID,en-us,10,2,0,0,0,0,0,0,0,0,0,1
2018-08-30 01:54:38.747000+00:00,C8512BCE348E996C81697F6BE81F8B98,training,1,1,Mexico,ANDROID,es-mx,14,1,0,0,0,2,0,0,0,0,0,1
